candidate_id,skills,qualification,experience_level,job_role,experience_enc
1,"python, sql, tensorflow, machine learning, communication",master's in data science,senior,data scientist,0
2,"html, css, javascript, react, teamwork",bachelor's in computer science,mid,frontend developer,0
3,"java, spring, sql, rest apis, problem solving",bachelor's in software engineering,senior,backend developer,0
4,"figma, adobe xd, ui/ux design, creativity",bachelor's in design,entry,designer,0
5,"python, django, javascript, react, agile",master's in computer science,mid,full stack python developer,0
6,"financial modeling, excel, communication, risk analysis",master's in finance,senior,finance,0
7,"c++, unreal engine, game design, teamwork",bachelor's in game development,mid,game developer,0
8,"kubernetes, docker, aws, ci/cd, linux",bachelor's in computer science,senior,devops engineer,0
9,"java, spring boot, hibernate, microservices",bachelor's in software engineering,mid,full stack java developer,0
10,"solidity, ethereum, javascript, blockchain",bachelor's in computer science,entry,blockchain developer,0
11,"marketing strategy, seo, content creation, analytics",bachelor's in marketing,mid,marketing,0
12,"recruitment, hr policies, communication, leadership",master's in human resources,senior,hr,0
13,"c#, .net, sql, asp.net",bachelor's in computer science,mid,c# developer,0
14,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
15,"swift, ios development, objective-c, ui/ux",bachelor's in computer science,mid,mobile developer,0
16,"network security, penetration testing, firewalls",bachelor's in cybersecurity,senior,cybersecurity engineer,0
17,"agile, scrum, project management, leadership",master's in business administration,senior,software project manager,0
18,"c++, unity, game design, 3d modeling",bachelor's in game development,entry,video game designer,0
19,"python, pandas, sql, data visualization",master's in data science,mid,data analyst,0
20,"kubernetes, helm, aws, terraform",bachelor's in computer science,senior,kubernetes operations engineer,0
21,"html, css, javascript, node.js, mongodb",bachelor's in computer science,mid,web developer,0
22,"python, machine learning, deep learning, nlp",phd in artificial intelligence,senior,aiml,0
23,"java, android development, kotlin, rest apis",bachelor's in software engineering,mid,mobile developer,0
24,"python, flask, javascript, postgresql",bachelor's in computer science,entry,full stack python developer,0
25,"java, spring, angular, microservices",master's in software engineering,senior,full stack java developer,0
26,"adobe illustrator, photoshop, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
27,"sql, tableau, data analysis, statistics",bachelor's in statistics,entry,data analyst,0
28,"c#, unity, game physics, 3d modeling",bachelor's in game development,mid,game developer,0
29,"aws, jenkins, docker, ansible",bachelor's in computer science,senior,devops engineer,0
30,"php, wordpress, mysql, javascript",bachelor's in information technology,entry,php developer,0
31,"python, tensorflow, keras, data science",master's in data science,mid,data scientist,0
32,"blockchain, smart contracts, solidity, web3",bachelor's in computer science,senior,blockchain developer,0
33,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
34,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
35,"digital marketing, google analytics, seo, ppc",bachelor's in marketing,mid,marketing,0
36,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
37,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
38,"swift, ios, xcode, core data",bachelor's in computer science,entry,mobile developer,0
39,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
40,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
41,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
42,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
43,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
44,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
45,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
46,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
47,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
48,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
49,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
50,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
51,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
52,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
53,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
54,"hr policies, recruitment, training",master's in human resources,senior,hr,0
55,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
56,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
57,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
58,"scrum, agile, project management",master's in business administration,mid,software project manager,0
59,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
60,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
61,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
62,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
63,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
64,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
65,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
66,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
67,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
68,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
69,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
70,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
71,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
72,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
73,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
74,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
75,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
76,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
77,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
78,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
79,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
80,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
81,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
82,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
83,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
84,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
85,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
86,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
87,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
88,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
89,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
90,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
91,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
92,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
93,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
94,"hr policies, recruitment, training",master's in human resources,senior,hr,0
95,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
96,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
97,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
98,"scrum, agile, project management",master's in business administration,mid,software project manager,0
99,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
100,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
101,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
102,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
103,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
104,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
105,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
106,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
107,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
108,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
109,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
110,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
111,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
112,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
113,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
114,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
115,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
116,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
117,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
118,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
119,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
120,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
121,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
122,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
123,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
124,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
125,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
126,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
127,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
128,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
129,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
130,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
131,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
132,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
133,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
134,"hr policies, recruitment, training",master's in human resources,senior,hr,0
135,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
136,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
137,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
138,"scrum, agile, project management",master's in business administration,mid,software project manager,0
139,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
140,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
141,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
142,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
143,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
144,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
145,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
146,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
147,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
148,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
149,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
150,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
151,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
152,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
153,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
154,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
155,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
156,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
157,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
158,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
159,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
160,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
161,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
162,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
163,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
164,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
165,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
166,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
167,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
168,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
169,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
170,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
171,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
172,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
173,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
174,"hr policies, recruitment, training",master's in human resources,senior,hr,0
175,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
176,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
177,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
178,"scrum, agile, project management",master's in business administration,mid,software project manager,0
179,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
180,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
181,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
182,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
183,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
184,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
185,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
186,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
187,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
188,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
189,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
190,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
191,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
192,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
193,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
194,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
195,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
196,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
197,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
198,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
199,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
200,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
201,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
202,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
203,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
204,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
205,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
206,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
207,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
208,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
209,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
210,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
211,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
212,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
213,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
214,"hr policies, recruitment, training",master's in human resources,senior,hr,0
215,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
216,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
217,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
218,"scrum, agile, project management",master's in business administration,mid,software project manager,0
219,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
220,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
221,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
222,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
223,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
224,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
225,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
226,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
227,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
228,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
229,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
230,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
231,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
232,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
233,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
234,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
235,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
236,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
237,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
238,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
239,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
240,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
241,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
242,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
243,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
244,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
245,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
246,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
247,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
248,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
249,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
250,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
251,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
252,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
253,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
254,"hr policies, recruitment, training",master's in human resources,senior,hr,0
255,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
256,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
257,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
258,"scrum, agile, project management",master's in business administration,mid,software project manager,0
259,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
260,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
261,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
262,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
263,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
264,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
265,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
266,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
267,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
268,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
269,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
270,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
271,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
272,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
273,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
274,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
275,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
276,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
277,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
278,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
279,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
280,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
281,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
282,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
283,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
284,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
285,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
286,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
287,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
288,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
289,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
290,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
291,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
292,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
293,"marketing campaigns, social media, analytics",bachelor's in marketing,mid,marketing,0
294,"hr policies, recruitment, training",master's in human resources,senior,hr,0
295,"c#, asp.net, sql server, azure",bachelor's in computer science,mid,c# developer,0
296,"swift, ios development, ui/ux, core data",bachelor's in computer science,entry,mobile developer,0
297,"penetration testing, firewalls, siem",master's in cybersecurity,senior,cybersecurity engineer,0
298,"scrum, agile, project management",master's in business administration,mid,software project manager,0
299,"python, pandas, sql, tableau",master's in data science,entry,data analyst,0
300,"kubernetes, helm, aws, docker",bachelor's in computer science,senior,kubernetes operations engineer,0
301,"html, css, javascript, vue.js",bachelor's in information technology,mid,web developer,0
302,"python, tensorflow, nlp, deep learning",phd in artificial intelligence,senior,aiml,0
303,"java, kotlin, android sdk, rest apis",bachelor's in software engineering,mid,mobile developer,0
304,"python, flask, javascript, sql",bachelor's in computer science,entry,full stack python developer,0
305,"java, spring, react, aws",master's in software engineering,senior,full stack java developer,0
306,"adobe xd, figma, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
307,"sql, r, data visualization, statistics",bachelor's in statistics,entry,data analyst,0
308,"c++, unity, game design, vr",bachelor's in game development,mid,game developer,0
309,"aws, jenkins, docker, terraform",bachelor's in computer science,senior,devops engineer,0
310,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
311,"python, tensorflow, keras, nlp",master's in data science,mid,data scientist,0
312,"solidity, ethereum, web3, blockchain",bachelor's in computer science,senior,blockchain developer,0
313,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
314,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
315,"digital marketing, seo, ppc, analytics",bachelor's in marketing,mid,marketing,0
316,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
317,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
318,"swift, ios, xcode, ui/ux",bachelor's in computer science,entry,mobile developer,0
319,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
320,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
321,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
322,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
323,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
324,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
325,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
326,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
327,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
328,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
329,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
330,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
331,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
332,"java, spring, sql, microservices",bachelor's in software engineering,senior,backend developer,0
